唯一标识,所在区域,景点名称,评论数量,评分,是否为广告内容,是否被推荐,城市名称,图片,与市中心的距离,标签,详情页链接,市场票价,优惠价格,优惠描述,实际票价,价格类型,价格类型描述,是否免费,经度,纬度,热度评分,省份
28409229,上海迪士尼乐园-梦幻世界,迪士尼度假区,252.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/100a0j000000ayu44CDD7.jpg,距市中心20.1km,夜游观景|主题乐园&游乐场,https://you.ctrip.com/sight/shanghai2/1937031.html?scene=online,,,,免费,5.0,,False,31.150738,121.666337,3.6,上海
153353565,上海 · 沉浸式暗黑美学音乐剧《乌鸦》,淮海路/新天地地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0101212000pkyfl0i625A.jpg,距市中心1.3km,,https://you.ctrip.com/sight/shanghai2/153353565.html?scene=online,,,,免费,5.0,,False,31.224921,121.481618,3.6,上海
76800,月湖雕塑公园,佘山/松江大学城,2020.0,4.2,False,False,上海,https://dimg04.c-ctrip.com/images/350e180000015czlg737F.jpg,距市中心29.3km,遛娃宝藏地|亲子同乐,https://you.ctrip.com/sight/shanghai2/5676.html?scene=online,100.0,0.0,已减,95.0,2.0,门票,False,31.106763,121.212526,3.6,上海
153975007,《最后的玛雅·雨林秘境》超感沉浸式 VR探索展 - 闵行爱琴海站,虹桥地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0101g12000qybc2g9B686.png,距市中心11.4km,展览,https://you.ctrip.com/sight/shanghai2/153975007.html?scene=online,,,,免费,5.0,,False,31.1802,121.379585,3.5,上海
154171811,上海 · 【艺术剧场】70分钟沉浸式爆笑近景魔术主题秀《旮旯秀》,淮海路/新天地地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0100q12000rslcruu79DE.png,距市中心2.1km,,https://you.ctrip.com/sight/shanghai2/154171811.html?scene=online,,,,免费,5.0,,False,31.222739,121.465761,3.5,上海
154009626,上海 · 法语原版音乐剧《大鼻子情圣》,衡山路地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0102e12000raz8x0v3DB3.jpg,距市中心2.3km,话剧,https://you.ctrip.com/sight/shanghai2/154009626.html?scene=online,0.0,0.0,已减,280.0,2.0,门票,False,31.218227,121.468812,3.6,上海
154185443,昆山 · 超级音雄巨星LIVE演唱会-昆山站,经济开发区,0.0,0.0,False,False,昆山,https://dimg04.c-ctrip.com/images/0101812000rwaad9e963A.jpg,距上海42.4km,演唱会,https://you.ctrip.com/sight/kunshan77/154185443.html?scene=online,288.0,0.0,已减,288.0,2.0,门票,False,31.382403,121.068456,5.0,上海
151574432,上海 · 「Frankie A Show」英文脱口秀 English Stand-up•SpicyComedy,淮海路/新天地地区,0.0,0.0,False,False,上海,https://dimg04.c-ctrip.com/images/0100d12000kv2hsaeE028.png,距市中心1.3km,,https://you.ctrip.com/sight/shanghai2/151574432.html?scene=online,,,,免费,5.0,,False,31.225041,121.481493,3.6,上海
50773194,国际乒联博物馆中国乒乓球博物馆,打浦桥地区,77.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/01A3r120008zcwgp1BA08.jpg,距市中心4.2km,博物馆&展馆,https://you.ctrip.com/sight/shanghai2/4380388.html?scene=online,,,,免费,4.0,免费,True,31.199085,121.487794,3.6,上海
76781,秋霞圃,嘉定新城,380.0,4.7,False,False,上海,https://dimg04.c-ctrip.com/images/fd/tg/g2/M08/A2/2D/CghzgFVS--qAGKAZABj-XKSdg1Y828.jpg,距市中心27.3km,园林花园|历史建筑,https://you.ctrip.com/sight/shanghai2/5617.html?scene=online,,,,免费,5.0,,False,31.392519,121.259604,3.6,上海
